Serial Number,Model,Description,Building,Phenomena,Zone,IP,Slave
vtifmeter,GEPQMII,VTIF,*,Building,STM,10.40.224.50/502,Slave 1
A2787618,GE750,BUILDING BUS MAIN 750,*,Building,NWTC,192.88.248.93/5002,Slave 11
B3280786,GE489,TURBINE BUS MAIN 489,*,Wind,NWTC,192.88.248.93/5002,Slave 10
NWTC ADMIN GAS,BACPULSE1,,*,Gas,NWTC,192.174.36.28/80,Master
NWTC ADMIN PM1,BACPULSE1,,*,Revenue Elec.,NWTC,192.174.36.28/80,Master
NWTC ADMIN PM2,BACPULSE1,,*,Revenue Elec.,NWTC,192.174.36.28/80,Master
AFUF,BACPULSE1,,AFUF,,,192.174.36.28/80,Master
C6572141,GEPQM,AFUF,AFUF,Building,,199.117.151.93/5001,Slave 1
A2700245,GE750,BUILDING 251 750,Building 251,Building,,192.88.248.93/5002,Slave 13
C6572140,GEPQM,BLDG.#251,Building 251,Building,,192.88.248.93/5001,Slave 20
C6572150,GEPQM,BLDG.#252 A60,Building 252,Building,,192.174.56.32/5001,Slave 1
A2787629,GE750,BUILDING 252/254 750,Building 252 and 254,Building,,192.88.248.93/5002,Slave 12
C6572152,GEPQM,BLDG.#254 IUF,Building 254,Building,,192.174.56.31/5001,Slave 1
C6520765,GEPQM,BLDG.#256 & 257,Building 256 and 257,Building,,192.174.56.31/5001,Slave 2
A2787625,GE750,DYNAMOMETER BLDG 750,Dynamometer,Wind,,192.88.248.93/5002,Slave 14
C6503386,GEPQM,DYNAMOMETER BLDG,Dynamometer,Building,,192.174.56.90/5001,Slave 1
DYNO,BACPULSE1,,Dynamometer,Gas,,192.174.36.28/80,Master
C6572134,GEPQM,CENTRAL PLANT,FTLB,Thermal,,192.174.59.44/5001,Slave 3
C6572147,GEPQM,FTLB,FTLB,Building,,192.174.59.44/5002,Slave 2
FTLB MAIN,BACPULSE1,,FTLB,Gas,,192.174.36.28/80,Master
FTLB PROCESS,BACPULSE1,,FTLB,Gas,,192.174.36.28/80,Master
C6572142,GEPQM,HFSF,HFSF,Building,,204.132.141.55/5001,Slave 3
C6572137,GEPQM,HYBRID BLDG.,Hybrid Building,Building,,192.174.56.32/5002,Slave 2
C6594580,GEPQM,PDU,IBRF,Building,,204.132.144.66/5002,Slave 3
D6500213,GEPQM,IBRFOFFH,IBRF,Building,,10.40.151.40/502,Slave 5
D7304996,GEPQMII,IBRFCKT2,IBRF,Building,?,10.40.151.40/502,Slave 4
D7305537,GEPQMII,IBRFCKT1,IBRF,Building,?,10.40.151.40/502,Slave 3
A2787619,GE750,GROUNDING XFMR 750,NA,NA,NA,192.88.248.93/5002,Slave 3
C6572151,GEPQM,OTF,OTF,Building,,204.132.144.65/5001,Slave 1
D7393776,GEPQMII,WHN2,RSF,Mechanical,,10.40.3.21/5001,Slave 6
D7393777,GEPQMII,HN2,RSF,Lighting,,10.40.3.21/5001,Slave 7
D7393778,GEPQMII,AC-2,RSF,Thermal,,10.40.3.21/5001,Slave 10
D7393779,GEPQMII,AC-1,RSF,Thermal,,10.40.3.21/5001,Slave 9
D7393780,GEPQMII,Service Elev,RSF,Elevator,,10.40.3.21/5001,Slave 3
D7393781,GEPQMII,LNW1,RSF,Plug,,10.40.3.21/5001,Slave 4
D7393782,GEPQMII,LN2,RSF,Plug,,10.40.3.21/5001,Slave 5
D7393783,GEPQMII,Data Center,RSF,Computing,,10.40.3.21/5001,Slave 8
D7393784,GEPQMII,PV,RSF,Solar,,10.40.3.21/5001,Slave 2
D7393785,GEPQMII,HS1,RSF,Lighting,,10.40.3.21/5001,Slave 11
D7393786,GEPQMII,Elev1,RSF,Elevator,,10.40.3.21/5001,Slave 12
D7393787,GEPQMII,WHS1,RSF,Mechanical,,10.40.3.21/5001,Slave 14
D7393788,GEPQMII,Incoming Power,RSF,Building,,10.40.3.21/5001,Slave 20
D7393789,GEPQMII,Ls 1,RSF,Plug,,10.40.3.21/5001,Slave 13
D7394759,GEPQMII,ELN1B,RSF,Lighting,,10.40.3.21/5001,Slave 19
D7394760,GEPQMII,ES1B,RSF,Lighting,,10.40.3.21/5001,Slave 16
D7394761,GEPQMII,Elev2,RSF,Elevator,,10.40.3.21/5001,Slave 17
D7394762,GEPQMII,ELN1,RSF,Plug,,10.40.3.21/5001,Slave 18
D7394763,GEPQMII,ELS1,RSF,Plug,,10.40.3.21/5001,Slave 15
RSF1 CHW BTU,BACPULSE1,,RSF,,,192.174.36.28/80,Master
RSF1 HW BTU,BACPULSE1,,RSF,,,192.174.36.28/80,Master
RSF2 CHW BTU,BACPULSE1,,RSF,,,192.174.36.28/80,Master
RSF2 HW BTU,BACPULSE1,,RSF,,,192.174.36.28/80,Master
C6572135,GEPQM,SERF H9 (WEST),SERF,NA,,199.117.157.95/5003,Slave 4
C6572136,GEPQM,SERF EC,SERF,Building,,199.117.157.95/5001,Slave 1
C6572138,GEPQM,SERF H12 (CENTER),SERF,NA,,199.117.157.95/5003,Slave 3
